doy	hr	Tair	SWD	PAR	lai	Ea	Windsp m/s	precip	co2	Atm P	SoilT_2cm	SWC_2cm	flag	delta-13c	 delta-18o
9	12.5	2.65	615.5	1124	1	0.187	4.25	0	383.28364	794.15	4.8	0.11	0	-7.9	41.49
9	13.5	3.3	590.5	1037	1	0.1767	5.2	0	382.9798	793.3	5.7	0.11	0	-7.9	41.46
9	14.5	3.05	496	842.5	1	0.1832	3.55	0	382.71796	793.2	5.8	0.11	0	-7.89	41.46
9	15.5	2.9	342	544	1	0.1702	3.05	0	382.68012	793.5	5	0.11	0	-7.89	41.45
9	16.5	1.35	154.5	168	1	0.1721	1.8	0	382.88911	793.8	3.4	0.11	0	-7.9	41.46
9	17.5	-2.85	13	7.5	1	0.1649	0.5	0	384.665	793.95	1.9	0.11	0	-7.92	41.47
9	18.5	-4.35	0	0	1	0.1666	1.8	0	387.81	794.2	0.15	0.11	0	-7.97	41.49
9	19.5	-5.25	0	0	1	0.1726	1.95	0	386.565	794.55	-1.15	0.11	0	-8.05	41.48
9	20.5	-6	0	0	1	0.1747	2.15	0	385.96	794.95	-2	0.11	0	-8.09	41.43
9	21.5	-6.15	0	0	1	0.1703	2.45	0	390.86	795.1	-2.75	0.11	0	-8.11	41.39
9	22.5	-5.75	0	0	1	0.1722	2	0	392.12	795.3	-3.3	0.11	0	-8.12	41.37
9	23.5	-6.6	0	0	1	0.1672	3.05	0	392.58	795.3	-3.7	0.11	0	-8.14	41.36
10	0.5	-7.05	0	0	1	0.1645	2.7	0	387.745	795.15	-4.15	0.11	0	-8.16	41.36
10	1.5	-8.05	0	0	1	0.1628	0.8	0	392.93	795.2	-4.55	0.11	0	-8.17	41.35
10	2.5	-9.3	0	0	1	0.1568	1.8	0	390.425	795.2	-4.9	0.11	0	-8.18	41.35
10	3.5	-9.3	0	0	1	0.1469	1.55	0	391.39	795	-5.3	0.11	0	-8.2	41.34
10	4.5	-9.6	0	0	1	0.1448	1.4	0	389.735	794.4	-5.55	0.11	0	-8.21	41.31
10	5.5	-10	0	0	1	0.1456	2.75	0	391.575	793.75	-5.75	0.11	0	-8.22	41.33
10	6.5	-10.5	0	0	1	0.1496	1.7	0	392.685	793.7	-5.95	0.11	0	-8.21	41.39
10	7.5	-10.85	5	34.5	1	0.147	2.05	0	392.725	793.8	-6.15	0.11	0	-8.17	41.45
10	8.5	-5.85	132	317.5	1	0.1616	3.4	0	392.545	793.9	-6.2	0.11	0	-8.09	41.48
10	9.5	-1.7	319.5	655	1	0.1638	4.45	0	389.9	793.95	-5.3	0.11	0	-8.01	41.49
10	10.5	1.35	471.5	920.5	1	0.1671	3.45	0	387.435	793.95	-2.95	0.11	0	-7.97	41.47
10	11.5	3	573	1081.5	1	0.1759	2.2	0	387.3	793.3	1.5	0.11	0	-7.94	41.45
10	12.5	4.15	616	1123.5	1	0.1693	1.8	0	387.065	792.15	3.7	0.11	0	-7.91	41.42
10	13.5	5.5	591.5	1043	1	0.1705	1.5	0	386.66	791.3	4.8	0.11	0	-7.91	41.42
10	14.5	6.05	497.5	845.5	1	0.1653	1.65	0	386.14	790.8	5.25	0.11	0	-7.89	41.42
10	15.5	6.85	345	549	1	0.1485	2.25	0	385.54	790.45	4.5	0.11	0	-7.9	41.39
10	16.5	5.6	157	208.5	1	0.1425	2	0	385.11	790.2	3.3	0.11	0	-7.91	41.41
10	17.5	1.15	13.5	8	1	0.1434	1.95	0	386.535	790.2	1.4	0.11	0	-7.93	41.41
10	18.5	0.1	0	0	1	0.1437	2.25	0	387.81	790.4	-0.2	0.11	0	-7.97	41.42
10	19.5	-0.9	0	0	1	0.1455	2.35	0	389.415	790.35	-1.2	0.11	0	-8.06	41.42
10	20.5	-1.45	0	0	1	0.133	2.5	0	391.395	790.45	-1.75	0.11	0	-8.09	41.37
10	21.5	-2.05	0	0	1	0.1293	1.95	0	388.44	790.5	-2.35	0.11	0	-8.12	41.33
10	22.5	-3.65	0	0	1	0.1207	1.65	0	387.89	790.6	-2.95	0.11	0	-8.12	41.32
10	23.5	-4.45	0	0	1	0.1133	2.35	0	388.53	790.55	-3.5	0.11	0	-8.14	41.3
11	0.5	-4.65	0	0	1	0.1067	3	0	391.57	790.45	-3.95	0.11	0	-8.15	41.28
11	1.5	-5.4	0	0	1	0.098	3.05	0	388.11	790.25	-4.4	0.11	0	-8.17	41.28
11	2.5	-5.4	0	0	1	0.1081	3.1	0	390.225	790.15	-4.7	0.11	0	-8.18	41.28
11	3.5	-5.3	0	0	1	0.1111	2.85	0	394.58	789.85	-4.95	0.11	0	-8.2	41.27
11	4.5	-6.2	0	0	1	0.1138	1.55	0	392.28	789.65	-5.15	0.11	0	-8.21	41.23
11	5.5	-6.1	0	0	1	0.112	1.35	0	389.125	789.35	-5.35	0.11	0	-8.22	41.25
